id,title,authors,abstract,year,keywords,citations
22,"Semantic ETL for Financial CSVs","Carlos Rivera; I. Fang","ML-powered ETL for extracting structured data and semantic meaning from diverse, noisy CSV exports.",2022,"ETL;CSV;Semantic;Finance;ML",14
23,"Secure Federated Query Execution","Anastasiya Ivanova; S. Machado","Technique to securely federate SQL queries and AI predictions across disjoint data owners, using encrypted shuttling.",2024,"Federated;Query;Security;SQL",17
24,"Dynamic Memory Tuning for Go Indexers","C. Andrews; R. Sato","Auto-tuning heap allocators for Go-based full-text and vector index engines in resource-constrained environments.",2023,"Go;Index;Memory Management;Tuning",13
25,"Explainable Prompt Engineering Benchmarks","Helena Ivanova; J. Montoya","Experiments quantifying the impact of various prompt designs and rankers for LLM QA accuracy and transparency.",2024,"Prompt Engineering;LLM;QA;Benchmark",14
26,"Anomaly Detection in Cloud Logs","B. Murray; U. Song","Describes a ML pipeline for outlier/incident identification in GCP and AWS logs with distributed training and visualization.",2023,"Anomaly Detection;Logs;Cloud;ML",19
27,"Continuous Integration for Python ML","Ada Jin; S. Machado","Orchestrating scalable ML builds and tests using GitHub Actions and Docker, supporting cross-version compatibility.",2022,"CI/CD;Python;ML;Docker",16
28,"Resource-Efficient BERT Serving","A. Lee; S. Stevens","Methodology for serving fine-tuned BERT models with CPU/GPU autoscaling and inference batching in k8s microservices.",2024,"BERT;Serving;Autoscaling;Kubernetes",18
29,"GraphQL APIs in Go Microservices","D. Queen; F. Lin","Successful practices for type-safe GraphQL queries and schema evolution in distributed Go microservice environments.",2022,"Go;GraphQL;API;Microservices",14
30,"Batch AI Inference on CSV Datalakes","S. Parker; R. Lopez","Framework for distributed batch inference over massive CSV lakes; includes error logging and throughput benchmarks.",2021,"CSV;Inference;Batch;Benchmark",12
31,"Transfer Learning for Environmental Sound Classification","Farah Singh; Z. Lin","Examines how pre-trained convolutional models improve sound classification accuracy in urban monitoring with noisy recordings.",2021,"Transfer Learning;Audio;Sound Classification;Urban",12
32,"A/B Testing with Real-Time Feedback Loops","Andrea Lopez; M. Sato","Presents continuous A/B test framework using hybrid metrics for multi-modal search relevance in production.",2023,"A/B Testing;Search;Evaluation;Realtime",8
33,"Semi-Supervised Entity Extraction from Web Tables","E. Diaz; V. Kumar","Introduces graph propagation and limited human annotation to bootstrap entity tagging from large-scale HTML tables.",2022,"Entity Extraction;Web;Semi-supervised;Tables",11
34,"PDF Layout Parsing for Automated Contract Review","N. Patel; O. Meier","Benchmarks state-of-the-art PDF layout parsers on legal contracts and impacts on downstream clause extraction models.",2024,"PDF;Layout;Contracts;Extraction",9
35,"Feature Store Patterns in Go Microservices","Yuri Zhang; Ana Felix","Describes efficient online and offline ML feature engineering and serving in Go-powered infrastructure.",2021,"Feature Store;Go;ML;Microservices",10
36,"Latent Space Visualization of Search Behavior","C. Warren; G. Novak","Uses t-SNE and UMAP visualizations to interpret user clickstream and search session state transitions.",2023,"Latent Space;Visualization;Search;t-SNE;UMAP",13
37,"Improved NLP Tagging with Noisy Labels","Shawn Yamada; B. Morales","Evaluates weak-supervision and ensembling for improving entity tagging precision in customer support chat logs.",2022,"NLP;Tagging;Weak Supervision;Chatbots",14
38,"Energy-Efficient Cloud AI Inference","Ibrahim Musa; S. Machado","Comparative study of hardware accelerators and batching techniques to reduce energy cost of AI inference at cloud scale.",2023,"Energy;AI;Inference;Cloud;Hardware",17
39,"Streaming Cluster Anomaly Detection","H. Wagner; M. Peres","Hybrid algorithm for unsupervised anomaly detection in streaming IoT telemetry using micro-clusters and partial fit SVM.",2024,"Anomaly Detection;Streaming;IoT;SVM;Clustering",18
40,"LLM Prompt Chaining for Multi-Hop Reasoning","R. Malik; A. Gonzales","Shows how chaining multi-prompt LLM queries improves step-wise question answering on knowledge graphs and retrieved docs.",2024,"LLM;Prompt Chaining;Multi-Hop;Reasoning",9
41,"Voice Activity Detection in Video Indexing","L. Clarke; J. Baker","End-to-end pipeline combining VAD and OCR for mapping audio events to subtitle alignment in sports video archives.",2022,"Voice Activity Detection;Video;OCR;Alignment",10
42,"AI-Driven Outlier Pricing for Travel Bookings","Oscar Rojas; Katarina Nowak","Market data ML regression for real-time hotel and flight price forecasting and anomaly flagging.",2023,"Outlier Detection;Pricing;Travel;ML",14
43,"Synthetic Data Augmentation for PDF Training Sets","K. Samuels; Z. Franco","Generates high-fidelity synthetic financial PDFs for training document classification and parsing models.",2022,"Synthetic Data;PDF;Training;Financial",12
44,"Cross-lingual Embedding Indexing","M. Nowak; Xiang Wei","Describes a search system using aligned multilingual embeddings for cross-language patent retrieval.",2024,"Embeddings;Multilingual;Search;Patents",8
45,"Optimizing Batch AI Inference in Microservices","G. Rocha; Antonia Kim","Analyzes throughput, memory, and error rate for various batch processing strategies in production AI services.",2022,"AI;Batch Inference;Microservices;Throughput",5
46,"Self-healing ETL Jobs with Go and Airflow","A. Wang; D. Cooper","Implements SLO-compliant ETL pipelines that auto-recover on data drift, using Go operators in Airflow DAGs.",2023,"ETL;Airflow;Go;Self-healing;SLO",14
47,"Schema Mapping Automation for CSV Fusion","Z. Hassan; J. Yu","Evaluates transformer-based and rule-based mapping for merging large, heterogenous CSVs in enterprise data lakes.",2024,"Schema Mapping;CSV;Data Fusion;Enterprise",16
48,"Efficient Sparse Inverted Indexes on SSD","Kevin Bee; N. Flores","Presents Go and Rust techniques for sparse inverted index construction with low latency and small storage footprint.",2023,"Indexing;Sparse;SSD;Go;Rust",13
49,"Monitoring Drift in Streaming Feature Pipelines","B. Stein; V. Kumar","Compares drift detection methods in ML feature pipelines for click prediction and time series forecasting.",2022,"Drift Detection;Streaming;Feature Pipeline;ML",11
50,"Adversarial Example Generation for Text Classifiers","S. Rahman; Q. Moore","Automatic adversarial sample generation and classifier-fooling via gradient-based and linguistic perturbations.",2023,"Adversarial Examples;Text Classification;ML",15
51,"Geo-Distributed Database Synchronization","M. Castillo; E. Barker","Protocol and benchmarking for conflict-free distributed DB sync across global regions using Go routines.",2024,"Database;Synchronization;Geo-Distributed;Go",7
52,"Scalable Search Result Re-ranking via LambdaMART","T. May; L. Qu","Deploys LambdaMART-based LTR for news and legal search with online A/B eval and feature ablation.",2022,"LTR;Search;Re-ranking;LambdaMART",15
53,"Predicting SaaS Usage Spikes in Cloud Logs","S. Rossi; D. Lee","Sequence modeling to predict resource usage spikes from event logs of SaaS platforms, improving auto scaling.",2023,"SaaS;Prediction;Resource Spikes;Cloud",14
54,"Privacy Audits in AI-Powered APIs","Nina Kim; P. Gill","Framework for privacy compliance and audit logging in AI APIs handling sensitive analytics data.",2024,"Privacy;APIs;Audit;Compliance",11
55,"Human-in-the-Loop Summarization for Research PDFs","Q. An; Anna Lim","Offers a hybrid extractive/abstractive summarizer with human feedback loop for science papers and preprints.",2022,"Summarization;PDF;Human-in-the-Loop;NLP",13
56,"Fault-tolerant Checkpointing in Stream Analytics","O. Nunes; R. Lee","New checkpointing protocol for windowed query recovery in clustered event streaming workflows.",2023,"Checkpointing;Stream Analytics;Fault-tolerance",10
57,"Model Selection via Bayesian Hyperparameter Optimization","M. Orton; S. Lemos","Bayesian HPO compared to grid/random for selecting text and image classifiers in production.",2022,"Hyperparameter Optimization;Model Selection;Bayesian",14
58,"Continuous Integration Metrics on GitHub Actions","L. Baez; F. Liu","Defines and applies quality and coverage metrics to ML/ETL Github Actions pipelines across teams.",2024,"CI Metrics;GitHub Actions;ML;Coverage",11
59,"Realtime Feedback Uncertainty in LLMs","Abhay Deshmukh; S. Machado","Uncertainty estimation techniques for interactive LLMs used in finance chatbots.",2024,"LLM;Uncertainty;Finance;Feedback",12
60,"Graph Transformer Networks for Traffic Prediction","G. Krishnan; B. Ramos","Benchmarks graph neural networks for fast urban traffic forecasting with variable edge types.",2023,"Graph Transformer;Traffic Prediction;GNN;Forecasting",19
61,"Embedding Compression for Scalable Vector Search","Seema Liao; M. Patel","Experiments with PQ and binarization for high-speed, low-memory vector search in Go-powered QA systems.",2022,"Embedding;Compression;Vector Search;Go",14
62,"Federated Access Control Policy Indexing","V. Kowalski; Omar Reyes","Elastic, multi-tenant policy search and enforcement system designed with Go and Postgres.",2023,"Access Control;Federated;Search;Go",13
63,"Self-Supervised PDF Table Extraction","Kimberly White; Inez Simms","Self-supervised and transfer learning for accurate table extraction in multi-layout PDF documents.",2024,"PDF;Table Extraction;Self-Supervised;Transfer Learning",11
64,"GSCP: Graph Schema Change Propagation","D. Choi; Pierre Gaudet","Tracks and mitigates breaking schema changes in interconnected graph DBs using auto-generated migration plans.",2022,"Graph Schema;Change Propagation;Database",17
65,"Realtime Multilingual Subtitle Generation","Kevin Wang; Julia Lowe","Document a fast, cloud-based subtitle system for real-time multi-language generation in video platforms.",2023,"Multilingual;Subtitle;Video;Realtime",12
66,"Adaptive Linting for DevOps Workflows","J. Wang; Maria Nunez","Adaptive linter prioritizes findings based on severity and usage context in CI/CD pipelines for Go and Python.",2022,"Linting;DevOps;CI/CD;Go;Python",10
67,"Explainability Metrics for Black-Box Classifiers","S. Tran; A. Allen","Presents new metrics for evaluating and ranking black-box ML classifiers by their explainability for enterprise use.",2023,"Explainability;ML;Black-Box;Metrics;Enterprise",14
68,"Go-Accelerated Data Lake Querying","Pedro Hui; L. Mason","Describes a Go-powered SQL engine achieving 3x speed-up on cold data lake queries with new buffer strategies.",2024,"Data Lake;SQL;Go;Optimization",16
69,"Zero-shot Intent Detection for Contact Centers","F. Duran; C. Xu","Compares LLM and rule-based intent detectors across multiple intent domains and dialects.",2024,"Zero-shot;Intent Detection;LLM;Contact Center",10
70,"Batch Embedding Search with HNSW","Irene Schwarz; B. Sanchez","HNSW batch search methods for high-throughput enterprise document archives using in-memory Go index.",2023,"HNSW;Embedding;Batch Search;Go",12
71,"Temporal Sentiment Analysis of Financial News","A. Rohatgi; Jonas Kim","Tracks and correlates sentiment time series in finance news with downstream portfolio returns.",2023,"Sentiment Analysis;Finance;Temporal;News",12
72,"Universal PDF Metadata Extractor","Sheila Osbourne; T. Franco","A robust multi-layout extractor for collecting all XMP and semantic metadata from PDFs in the wild.",2022,"PDF;Metadata;Extraction;XMP",7
73,"Agnostic Type Inference for Massive Codebases","Q. Mendez; L. Ortega","Scalable type inferencing platform handling over 500m lines of mixed-language code; results on OSS corpus.",2024,"Type Inference;Codebase;Scalable;Mixed-language",14
74,"Self-tuning Alerting Systems via RL","R. Rost; T. Kaufmann","Combines classic rules and RL agents for auto-prioritizing alerting thresholds in incident response pipelines.",2023,"Alerting;RL;Incident Response;Threshold",8
75,"AnthologyNet: Large PDF Classification with GNNs","S. Zanetti; O. Wang","Evaluates graph neural networks on multi-chapter scientific PDFs for topic, author, and format recognition.",2022,"GNN;PDF;Classification;Scientific",11
76,"Semantic Alignment for JSON Data Fusion","Y. Castillo; G. Ibanez","Auto-aligns fields in differently structured JSON datasets using transformer-based semantic field similarity.",2023,"Semantic Alignment;JSON;Fusion;Transformer",10
77,"Resilient Out-of-Order Event Processing","N. Baxter; S. Machado","Stream analytics system for unordered event logs; leverages watermarking and temporal windows at scale.",2024,"Event Processing;Streaming;Out-of-Order;Watermark",9
78,"Deep RL for Supply Chain Simulations","Lucas Murray; M. Chau","Uses deep RL agents for parameter tuning in just-in-time inventory simulation with real-world supply data.",2022,"RL;Supply aChain;Simulation;Inventory",13
79,"Entity Co-reference Across PDF and Web Corpus","Mei Fen; Erika Foster","Cross-document co-reference tags for person, org, and event matching between PDFs and public web pages.",2023,"Entity Resolution;Co-reference;PDF;Web",16
80,"GraphQL-Aware Service Mesh Proxies","G. Jacobson; L. Tavares","Benchmarks of SMI-compliant service proxies and their impact on GraphQL endpoint traffic, security, and latency.",2021,"GraphQL;Service Mesh;Proxy;SMI",8
81,"Type-Aware Schema Validation for JSON APIs","Miranda Chu; B. Villanueva","Describes a Go/TypeScript engine for validating nested JSON payloads in high-throughput public APIs.",2023,"JSON;Schema Validation;Go;TypeScript;APIs",9
82,"Online Deep Learning for Streamed Image Data","P. Garnett; S. Machado","Deep CNNs incrementally trained on real-time camera data, with applications to smart traffic monitoring systems.",2022,"Deep Learning;CNN;Streaming;Image Data;Traffic",14
83,"Automated Prompt Testing for LLM QA","Aditya Prasad; L. Wang","Framework for testing LLM responses to hundreds of prompt variations for legal and technical QA accuracy.",2024,"LLM;Prompt Testing;QA;Legal;Framework",8
84,"Adversarial Resilience in Email Spam Datasets","R. King; Ava Li","Compares spam filter robustness across evolving adversarial dataset splits using data augmentation and transfer.",2021,"Spam;Adversarial;Email;Data Augmentation;Transfer",17
85,"Video OCR Pipeline for Low-Resource Languages","Xin Wang; Rebekah Holtz","Presents a multi-stage OCR and translation system for subtitling low-resource language videos in PDF and web output.",2023,"OCR;Video;Translation;Low-Resource;PDF",10
86,"Data Provenance in Distributed ML Workflows","Omar Ramirez; M. G. Silva","Automates data lineage tracking and audit trails in multi-step ML pipelines over distributed cloud stores.",2022,"Provenance;Distributed ML;Audit;Cloud;Pipelines",19
87,"Zero-Trust Search in Federated Health Networks","Teresa Morel; K. Ellis","Design for privacy-preserving record search and retrieval using zero-trust policies and partial cryptographic matching.",2024,"Zero-Trust;Search;Federated;Health;Privacy",8
88,"Hybrid Index Cooling and Archival Strategies","H. Gomez; F. Stephens","Protocols for transitioning LSM and vector indices from hot SSD to archival cold blob storage for cost savings.",2023,"Indexing;Cooling;Archival;LSM;Vector",11
89,"Session Replay Analytics from Microservice Logs","Lisa Wu; N. Giles","Session reconstruction pipeline from distributed logs, applied to debugging realtime transaction flows.",2022,"Analytics;Session Replay;Logs;Microservice",10
90,"Contrastive Learning for FAQ Retrieval","Jan Novak; P. Ochoa","Uses contrastive loss to train robust FAQ retrieval models on weakly labeled corporate support datasets.",2023,"Contrastive Learning;FAQ;Retrieval;Weakly Labeled",7
91,"CI/CD Best Practices for Data Science","Colin Mishra; Lana Bae","Codifies end-to-end practices for building, testing, and deploying Jupyter-based ML in CI/CD workflows.",2022,"CI/CD;Data Science;ML;Jupyter",14
92,"File Format Conversion Integrity Checks","Ronan Soren; S. Pascal","Benchmarks diff-based and hash-based validation of PDF, CSV, and JPEG file conversion tools for archiving.",2024,"File Format;PDF;CSV;Integrity;Archiving",9
93,"Pattern Mining For Event Security Logs","Yamini Shah; G. Morano","Frequent pattern mining techniques to surface incident signatures in multi-terabyte cloud event logs.",2022,"Pattern Mining;Security;Logs;Cloud",16
94,"Multi-Turn QA Ranking Strategies","Illya Smirnov; Paul Vinter","Assesses dialog turn selection and ranking for LLM-based customer support bots on telecom datasets.",2023,"Multi-Turn;QA;Ranking;LLM;Customer Support",13
95,"Composable Secure Data APIs in Go","Adrian Bell; J. Moller","Defines a toolkit for building fine-grained REST and GraphQL security models using Go middleware.",2022,"Go;APIs;Security;GraphQL;REST",14
96,"Explainable ML Pipelines for Healthcare","F. Unger; Cynthia Tran","Implement interpretable forest and gradient boosting pipelines for hospital readmission prediction.",2023,"Explainable ML;Healthcare;Gradient Boosting",8
97,"Streaming OCR and Table Detection for Scanned Docs","Carla Mendez; D. Yu","Pipelined approach to combine streaming OCR, NLP, and table detection for archival scan PDFs in legal sector.",2024,"OCR;Streaming;PDF;Table Detection",12
98,"GitOps Event Trigger Framework","Jae Park; Dina Aziz","Describes a Go/Python framework for automated triggers and workflows in GitOps-managed infrastructure.",2022,"GitOps;Triggers;Go;Python;Infra",11
99,"Classifying Bug Fix Commits via ML","Eric Wills; N. Ishida","Text and meta-feature classifier for auto-labeling commit messages and detecting silent bug fixes.",2022,"Bug Fix;Classification;ML;Commits",10
100,"Temporal Summarization of Streaming News","H. Zhao; B. Prince","Real-time summarization engine for live news, with temporal modeling and entity tracking in headlines.",2023,"Summarization;Streaming;News;Entity Tracking",13
101,"Hybrid Embedding and BM25 Index Fusion","M. Fredrick; Alex Tan","Experiments in combining sparse BM25 and dense neural index results for QA and factoid passage retrieval.",2024,"BM25;Embeddings;Fusion;Retrieval;QA",17
102,"Online Log Anomaly Sketching","Natalia Pei; V. Vasquez","Uses probabilistic sketching methods for low-memory anomaly detection in streaming logs pipelines.",2023,"Log Anomaly;Sketching;Probabilistic;Streaming",9
103,"Online AB Testing with V-Map Statistics","A. Ritchie; Hao Chen","Framework for evaluating many concurrent A/B tests with V-Map randomization and real-time metric aggregation.",2024,"A/B Testing;Evaluation;Statistics;Real-Time",11
104,"Multi-index Storage in Go Data Lake","Abby Jensen; Sarvesh K.","Architecture for hybrid columnar/full-text index co-existence in a Go-based data lake platform.",2023,"Data Lake;Storage;Go;Columnar;Full-Text",14
105,"Active Learning for Noisy Label Correction","Tariq Elamin; Tali Shirley","Iteratively queries users for label corrections to improve supervised models for social text data.",2021,"Active Learning;Noisy Labels;Social Data",10
106,"Memory Leak Detection in Containerized Apps","Joao Pinto; Pascal Nguyen","Compares static analyzers and dynamic profilers for memory leak diagnosis in Go and Rust k8s containers.",2022,"Memory Leak;Containers;Go;Rust;k8s",8
107,"Adaptive RL Controllers for Autonomous Vehicles","Sean Harper; X. Tang","Hybrid RL and rule-based controllers tested in real-world mobility vehicle fleets; policy ablation analysis.",2023,"RL;Autonomous Vehicles;Controller;Policy",13
108,"Data Lake Stream Compaction Benchmarks","U. Ye; T. Roy","Examines compaction protocols for streaming and batch data on modern S3-based data lakes.",2023,"Data Lake;Compaction;Streaming;S3",12
109,"Explainable Pipeline Debugging for ML","Pedro Suarez; Kayla Inoue","Presents a visual DAG debugger tool for tracking data and logic errors in composable AI pipelines.",2024,"Pipeline Debugging;ML;Explainability;DAG",11
110,"Automated Sample Weighting for Imbalance Correction","Vicky Fang; P. Bakr","Survey of ML model techniques to compensate for class imbalance in financial and health datasets.",2022,"Imbalance;ML;Weighting;Correction",8
111,"Concurrency Testing in API Gateways","Lina Zhou; Frank Ireland","Describes concurrency fuzz techniques for high-throughput, low-latency Go and Node API gateways.",2023,"API;Concurrency;Testing;Go;Node",9
112,"Go-native ETL Scheduling Platform","Diego Dias; O. Müller","Ecosystem of Go-native data connectors for batch scheduling, prioritization, and error handling.",2022,"ETL;Go;Scheduling;Batch",10
113,"Contrastive Pretraining for Table Extraction","Sheryl Park; Shun Lee","Demonstrates impact of contrastive learning for increasing extraction accuracy in PDF invoices.",2023,"Contrastive Learning;Table Extraction;PDF;Invoices",12
114,"Cloud Function Observability Patterns","Harold James; P. Falcon","New cloud function monitoring APIs and adapters for tracing distributed event triggers and data flows.",2022,"Observability;Cloud Function;Monitoring;API",11
115,"Parallelized GraphQL Resolvers in Go","Danny Patel; Shilpa Rao","Quantifies speedups of parallel GraphQL resolver execution using Go concurrency primitives.",2023,"GraphQL;Go;Resolvers;Parallel;Concurrency",13
116,"Persistent Index Management for LLM Serving","Shanaya Patel; Frank Li","Presents protocols for persistent storage of embedding and full-text indices in large-scale LLM serving platforms.",2024,"LLM;Index Management;Embedding;Persistence",12
117,"Program Slicing for Go Security Audits","S. Paredes; A. Vasquez","Studies automatic slicing for taint and information flow detection in security audits of Go services.",2022,"Go;Security Audit;Program Slicing;Taint",10
118,"NLP Sequence Tagging Under Distribution Shift","Amal Tai; Lukas Grant","Experimentation on robust named entity tagging under major data domain shifts using transfer learning.",2023,"NLP;Sequence Tagging;Distribution Shift;Transfer",14
119,"Dynamic Schema Evolution in Multi-Tenant SaaS","Anya March; Greg Liao","Relational DB layer that supports live migration and schema evolution for multi-tenant SaaS.",2022,"Schema Evolution;Multi-Tenant;SaaS;Migration",7
120,"Survivor Bias Correction in A/B Experimentation","Maria Nowik; Ivan Diaz","Presents correction methodology and tools for survivor bias in long-running online business experiments.",2024,"Bias;A/B Testing;Survivor;Experimentation",9
121,"Elastic Resource Scaling for Feature Stores","J. Park; K. Mason","Resource allocation protocols for low-latency feature serving in elastic, cloud-based ML platforms.",2022,"Feature Store;Elastic Scaling;Cloud;ML",8
122,"Multilingual Search Engine Evaluation","Luisa Navarro; Zhang Wen","Measurement of recall and MRR in multi-language vertical search platforms with diverse tokenization schemes.",2023,"Multilingual;Search Engine;Evaluation;MRR",10
123,"Diff-based PDF Layout Evaluation","Paul Reed; Seong Kim","Metrics and visual reports for layout consistency in PDF generation and rendering across platforms.",2024,"PDF;Layout;Diff;Rendering",14
124,"Scaling Multi-Kernel SVMs for Big Data","Erik Jensen; Marisol Grant","How to parallelize multi-kernel SVMs for scalability in high-dimensional finance and biomed data.",2022,"SVM;Parallel;Big Data;Finance;Biomed",11
125,"Building Explainable QA Over Knowledge Bases","Alex Farid; Isabel Lee","Shows how to integrate knowledge graphs for enhanced explainability in QA model outputs for end-users.",2023,"QA;Knowledge Base;Explainability;Graphs",13
126,"Robust Online ETL for PDF Bank Statements","Wei Sun; Jared Bae","Fault-tolerant streaming ETL for parsing financial bank statements from mixed-format PDFs.",2024,"ETL;PDF;Bank Statement;Streaming",12
127,"Annotation Quality Metrics in NER Benchmarks","R. Jacobson; S. Dhawan","Evaluates variation in annotation quality and disagreement for NER corpora in legal and medical text.",2022,"NER;Annotation;Benchmark;Quality",11
128,"Scalable Link Discovery in Web Graphs","Ashley Neves; Sung Lee","Benchmarks link prediction in multi-billion node web graphs for search and recommendation engines.",2023,"Link Discovery;Web Graph;Prediction;Search",17
129,"Synthetic Data Generation for Explainable AI","M. Hakim; Pranav Shah","Surveys techniques and toolkits to generate synthetic data that increase explainability for regulated ML.",2024,"Synthetic Data;Explainable AI;Toolkits;Regulation",8
130,"Efficient Reinforcement Learning for Warehouse Robotics","Jodie Tran; Arnav Das","Presents fast RL training for simulated warehouse fleets achieving real-world time and energy savings.",2022,"RL;Warehouse;Robotics;Simulation",14
131,"Go/TypeScript Connectors for Data Warehouse ETL","Trevor Diaz; C. Pavlides","Develops cross-language ETL connectors and schema translators for cloud-native DWH workloads.",2023,"ETL;Go;TypeScript;Warehouse;Schema",13
132,"Reflective Embedding Evaluation on QA Corpora","Blanca Cruz; Misha Lim","Novel reflection technique for self-assessing embedding quality during QA pipeline model selection.",2024,"Embedding;Evaluation;QA;Reflective",7
133,"Transferable Prompt Learning for Speech Models","M. Rahman; Z. Shi","Applies prompt-based learning to speech recognition for better transfer from high-resource to low-resource language data.",2023,"Prompt Learning;Speech;Transfer;Low-resource",10
134,"Graph Partitioning for Large Network Datasets","O. Vasili; L. Price","Efficient graph partitioning and labelling on distributed multi-million node social networks.",2024,"Graph Partitioning;Large Network;Labeling;Social",11
135,"LLM Output Consistency for Code Generation","Rick Oley; S. Gallo","Compares approaches for consistent code and comment generation from LLMs in CI environments.",2023,"LLM;CodeGen;Consistency;CI",9
136,"Distributed Query Plans in Go SQL Engines","M. Brigida; Onyeka Okoro","Presents a Go-based planner and scheduler for multi-node SQL query execution with adaptive cost models.",2022,"Go;SQL;Distributed;Query Plan",12
137,"ML for Automated Financial Risk Flagging","Jean Poirier; Joy You","Presents ML model stacking and feature engineering to score and flag risk in financial loan applications.",2024,"Financial Risk;ML;Stacking;Feature Engineering",8
138,"Cloud Schedulers for ETL Pipelines","Andre Ikeda; Elise Munoz","Benchmarks cloud-native task schedulers for scalable distributed ETL and data hyperpipes.",2023,"ETL;Cloud Schedulers;Pipelines;Distributed",14
139,"Virtual Table Flattening in PDFs","Hailey Brock; Emeka Iwu","Describes a method of flattening multi-table data to single table in PDFs for downstream ML ingestion.",2024,"PDF;Table Flattening;Virtual Table;ML",13
